Date,Set,Source,Micro,Treatment,Alive_Nest,Dead_Nest,Dead_Outhouse,Dead_Outside,Nest_Weight,Honeypots,Pupae,Males,Sucrose_Consumption,Prop_Feeders,Prop_Nest,Prop_Outhouse,Cam_ID,Video,Foraging_bouts
10/17/23,1,B,B1,Control,21,0,2,0,32.1,14,9,0,58,0.030920589,0.128629939,0.190247325,11,11_2023-08-20_11-32-18_00021600.h264,40
10/17/23,1,B,B2,Control,21,0,0,0,31.8,11,28,0,64,0.015750445,0.053015766,0.095635627,8,08_2023-08-19_09-17-54_00021600.h264,23
10/17/23,1,B,B3,Crithidia,19,0,3,1,32.6,11,39,0,64,0.006777338,0.07824387,0.182173773,6,06_2023-08-19_08-17-55_00021600.h264,41
10/17/23,1,B,B4,Crithidia,18,0,2,0,33.1,20,36,0,59,0.010684412,0.027177164,0.253825543,7,07_2023-08-19_08-17-55_00021600.h264,36
11/6/23,2,B,B5,Control,22,0,4,0,47.5,27,64,2,86,0.073652531,0.045880956,0.965880662,5,05_2023-08-18_14-32-37_00021600.h264,37
11/6/23,2,B,B6,Crithidia,13,0,5,4,38.6,15,61,7,56,0.05367185,0.014996924,0.590857873,2,02_2023-08-18_16-17-53_00021600.h264,12
11/6/23,2,B,B7,Control,18,0,4,2,48.5,46,20,3,64,0.020963461,0.021964982,0.552344192,4,04_2023-08-18_14-20-17_00021600.h264,54
11/21/23,3,D,D2,Control,22,0,1,1,14.6,16,26,0,32,0.006744565,0.130685395,0.035461992,7,07_2023-11-19_11-20-45_00021600.h264,14
11/21/23,3,D,D4,Crithidia,21,0,3,0,21.2,21,12,0,48,0.023170465,0.021525299,0.059810146,8,08_2023-11-19_09-01-46_00021600.h264,54
11/21/23,3,D,D3,Crithidia,17,1,1,1,17.4,18,9,0,32,0.003776837,0.079453578,0.053818199,6,06_2023-11-17_12-39-31_00021600.h264,58
11/21/23,3,D,D1,Control,20,0,1,0,18.8,13,33,0,46,0.017843072,0.130685395,0.054842297,2,02_2023-11-19_17-29-10_00021600.h264,38
11/21/23,3,B,B8,Control,19,0,7,0,18.3,33,20,0,50,0.00789962,0.024892211,0.10741992,5,05_2023-11-19_12-40-05_00021600.h264,6
11/21/23,3,B,B9,Crithidia,20,0,1,2,15.2,22,9,0,40,0.037409684,0.030001654,0.054570154,11,11_2023-11-19_16-20-35_00021600.h264,
12/2/23,4,E,E3,Control,11,4,8,1,15.1,14,4,0,24,0.003403696,0.012027528,0.009817265,11,file would not download (too large?),
12/2/23,4,E,E4,Crithidia,7,2,11,5,15,8,2,0,29,0.018395377,0.016156921,0.005464237,6,06_2023-11-28_10-06-42,
12/2/23,4,E,E5,Control,13,0,10,0,15.9,14,2,0,29,0.008171578,0.022438727,0.029229103,5,rpi would not connect ? ,
12/2/23,4,E,E6,Crithidia,10,2,6,3,18.2,9,1,0,36,0.042971203,0.075102723,0.006773349,4,04_2023-11-19_10-18-57,
12/2/23,4,E,E7,Control,9,6,6,3,18.6,13,3,0,38,0.004705588,0.028967227,0.018910825,8,08_2023-11-28_12-24-57,
12/2/23,4,E,E8,Crithidia,7,1,14,3,15.6,9,1,0,22,0.007924322,0.020849631,0.007277463,2,02_2023-11-28_13-47-38,
12/7/23,5,B,B10,Control,25,0,0,0,32.9,37,41,0,44,0.056841,0.009821189,0.722453429,,,
12/7/23,5,B,B11,Control,12,2,3,7,19,21,36,0,20,0.003310462,0.005472683,0.135609004,,,
12/7/23,5,B,B12,Crithidia,16,0,8,3,28.9,35,24,1,30,0.009523029,0.014762425,0.059032886,,,
12/7/23,5,B,B13,Crithidia,17,0,3,2,22.8,31,11,1,18,0.004738804,0.007007646,0.061823129,,,
12/7/23,5,D,D5,Control,23,0,0,0,31.6,41,48,5,86,0.687543866,0.082661399,0.657244021,,,
12/7/23,5,D,D6,Crithidia,20,0,3,2,25,39,12,6,42,0.016562124,0.023455649,0.206142615,,,
12/23/23,6,F,F1,Crithidia,10,2,6,4,24.4,8,2,0,30,0.017444158,0.038286166,0.123244456,,,
12/23/23,6,F,F2,Control,14,0,9,2,20.2,9,1,0,22,0.031711348,0.054320725,0.241596906,,,
12/23/23,6,F,F3,Crithidia,15,0,4,5,24.3,16,3,0,26,0.005578375,0.092814119,0.06155926,,,
12/23/23,6,F,F4,Control,13,1,5,7,23.5,18,5,0,14,0.045478736,0.032231759,0.063358925,,,
12/23/23,6,F,F5,Control,14,1,8,1,26.3,18,3,0,10,0.008446086,0.007275257,0.006244647,,,
12/23/23,6,F,F6,Crithidia,11,2,6,6,25.7,10,1,0,21,0.003861308,0.040327503,0.034813532,,,
12/29/23,7,D,D7,Control,17,0,4,3,23.3,13,7,0,30,0.030330437,0.146505041,0.150275067,,,
12/29/23,7,D,D8,Crithidia,13,2,6,2,27.1,12,5,0,32,0.006537279,0.168988339,0.050511999,,,
12/29/23,7,E,E9,Control,15,3,5,1,27,10,29,0,34,0.019015988,0.051629433,0.08974718,,,
12/29/23,7,E,E10,Crithidia,5,1,14,4,24.2,12,11,0,20,0.002798304,0.010864638,0.003857081,,,
12/29/23,7,F,F7,Control,11,2,9,2,28.6,18,4,0,30,0.006482865,0.043814936,0.122649655,,,
12/29/23,7,F,F8,Crithidia,12,0,8,3,25.2,14,7,0,38,0.005894386,0.06138081,0.224645846,,,
