Block,Source,Micro,Treatment,Area,Red_Pixels,Total_Pixels,Proportion_Red,Sucrose_Consumption,Survivors,Mortality,Notes
A,B,B1,Control,Feeder,91103,2946354,0.030920589,58,21,4,
A,B,B1,Control,Nest,307242,2388573,0.128629939,58,21,4,
A,B,B1,Control,Outhouse,453593,2384228,0.190247325,58,21,4,
D,B,B10,Control,Feeder,168570,2965641,0.056841,44,25,0,
D,B,B10,Control,Nest,23286,2370996,0.009821189,44,25,0,
D,B,B10,Control,Outhouse,1733173,2399010,0.722453429,44,25,0,
D,B,B11,Control,Feeder,9501,2869992,0.003310462,20,12,13,
D,B,B11,Control,Outhouse,330717,2438754,0.135609004,20,12,13,
D,B,B11,Control,Nest,13104,2394438,0.005472683,20,12,13,
D,B,B12,Crithidia,Feeder,27192,2855394,0.009523029,30,16,9,
D,B,B12,Crithidia,Outhouse,142413,2412435,0.059032886,30,16,9,
D,B,B12,Crithidia,Nest,35085,2376642,0.014762425,30,16,9,
D,B,B13,Crithidia,Feeder,13592,2868234,0.004738804,18,17,8,
D,B,B13,Crithidia,Nest,17026,2429632,0.007007646,18,17,8,
D,B,B13,Crithidia,Outhouse,150557,2435286,0.061823129,18,17,8,
A,B,B2,Control,Feeder,47888,3040422,0.015750445,64,21,4,
A,B,B2,Control,Nest,127972,2413848,0.053015766,64,21,4,
A,B,B2,Control,Outhouse,229129,2395854,0.095635627,64,21,4,
A,B,B3,Crithidia,Feeder,20532,3029508,0.006777338,64,19,6,
A,B,B3,Crithidia,Outhouse,429504,2357661,0.182173773,64,19,6,
A,B,B3,Crithidia,Nest,187832,2400597,0.07824387,64,19,6,
A,B,B4,Crithidia,Feeder,32166,3010554,0.010684412,59,18,7,
A,B,B4,Crithidia,Outhouse,594813,2343393,0.253825543,59,18,7,
A,B,B4,Crithidia,Nest,63571,2339133,0.027177164,59,18,7,
B,B,B5,Control,Feeder,212791,2889120,0.073652531,86,22,3,
B,B,B5,Control,Nest,107060,2333430,0.045880956,86,22,3,
B,B,B5,Control,Outhouse,2324981,2407110,0.965880662,86,22,3,
B,B,B6,Crithidia,Feeder,154193,2872884,0.05367185,56,13,12,
B,B,B6,Crithidia,Nest,36132,2409294,0.014996924,56,13,12,
B,B,B6,Crithidia,Outhouse,1423662,2409483,0.590857873,56,13,12,
B,B,B7,Control,Nest,52570,2393355,0.021964982,64,18,7,
B,B,B7,Control,Outhouse,1326095,2400849,0.552344192,64,18,7,
B,B,B7,Control,Feeder,62758,2993685,0.020963461,64,18,7,
C,B,B8,Control,Feeder,24658,3121416,0.00789962,50,19,6,
C,B,B8,Control,Nest,59887,2405853,0.024892211,50,19,6,
C,B,B8,Control,Outhouse,260638,2426347,0.10741992,50,19,6,
C,B,B9,Crithidia,Feeder,113897,3044586,0.037409684,40,20,5,
C,B,B9,Crithidia,Nest,72001,2399901,0.030001654,40,20,5,
C,B,B9,Crithidia,Outhouse,129429,2371791,0.054570154,40,20,5,
C,D,D1,Control,Feeder,54414,3049587,0.017843072,46,20,5,
C,D,D1,Control,Outhouse,129713,2365200,0.054842297,46,20,5,
C,D,D1,Control,Nest,308095,2357532,0.130685395,46,20,5,
C,D,D2,Control,Feeder,20809,3085299,0.006744565,32,22,3,
C,D,D2,Control,Outhouse,84862,2393041,0.035461992,32,22,3,
C,D,D2,Control,Nest,13936,2363337,0.005896747,32,22,3,
C,D,D3,Crithidia,Feeder,10988,2909313,0.003776837,32,17,8,
C,D,D3,Crithidia,Outhouse,131415,2441832,0.053818199,32,17,8,
C,D,D3,Crithidia,Nest,192984,2428890,0.079453578,32,17,8,
C,D,D4,Crithidia,Feeder,71582,3089364,0.023170465,48,21,4,
C,D,D4,Crithidia,Outhouse,143548,2400061,0.059810146,48,21,4,
C,D,D4,Crithidia,Nest,51374,2386680,0.021525299,48,21,4,
D,D,D5,Control,Feeder,1877925,2731353,0.687543866,86,23,2,the bees tore this feeder to pieces and there was poop everywhere - area is not accurate (underestimate) - bees were super weird so this will be outlier
D,D,D5,Control,Outhouse,1731303,2634186,0.657244021,86,23,2,omitted this microcolony from analysis because it was crazy
D,D,D5,Control,Nest,203875,2466387,0.082661399,86,23,2,
D,D,D6,Crithidia,Feeder,48177,2908866,0.016562124,42,20,5,
D,D,D6,Crithidia,Nest,58016,2473434,0.023455649,42,20,5,
D,D,D6,Crithidia,Outhouse,506801,2458497,0.206142615,42,20,5,
E,E,E3,Control,Feeder,10902,3202989,0.003403696,24,11,14,
E,E,E3,Control,Nest,28674,2384031,0.012027528,24,11,14,
E,E,E3,Control,Outhouse,23717,2415846,0.009817265,24,11,14,
E,E,E4,Crithidia,Feeder,58185,3163023,0.018395377,29,7,18,
E,E,E4,Crithidia,Outhouse,13225,2420283,0.005464237,29,7,18,
E,E,E4,Crithidia,Nest,38460,2380404,0.016156921,29,7,18,
E,E,E5,Control,Feeder,25470,3116901,0.008171578,29,13,12,
