Round,Source,Micro,Cavity,Treatment,Replicate,Green_Pixels,Total_Pixels,Prop_Green,Notes
A,9,9a,Nest,Crithidia,1,378668,3031368,0.124916539,
A,9,9a,Nest,Crithidia,2,677861,3130160,0.21655794,
A,9,9a,Nest,Crithidia,3,754100,3441897,0.219094296,
A,11,11a,Nest,Crithidia,1,382575,2488017,0.153767036,
A,11,11a,Nest,Crithidia,2,531659,3110979,0.17089765,
A,11,11b,Nest,Crithidia,1,376296,3491554,0.107773215,
A,11,11b,Nest,Crithidia,2,410295,3047340,0.134640375,
A,12,12b,Nest,Crithidia,1,97306,2076354,0.046863878,
A,12,12b,Nest,Crithidia,2,65465,2460027,0.026611497,
A,12,12b,Nest,Crithidia,3,234622,2041188,0.114943846,
A,9,9a,Outhouse,Crithidia,1,799397,3487870,0.229193462,
A,9,9a,Outhouse,Crithidia,2,1429728,3372270,0.423966053,
A,9,9a,Outhouse,Crithidia,3,1367818,4262148,0.32092222,
A,11,11a,Outhouse,Crithidia,1,1450471,4302904,0.337091183,
A,11,11a,Outhouse,Crithidia,2,1483482,4179168,0.354970654,
A,11,11b,Outhouse,Crithidia,1,379225,4141029,0.09157748,
A,11,11b,Outhouse,Crithidia,2,68072,4068974,0.016729524,
A,12,12b,Outhouse,Crithidia,1,329443,2619240,0.125778088,
A,12,12b,Outhouse,Crithidia,2,442862,2299760,0.19256879,
A,12,12b,Outhouse,Crithidia,3,1093254,2368197,0.461639804,
A,9,9a,Nest,Control,1,182528,2992830,0.060988429,
A,9,9a,Nest,Control,2,210444,3021594,0.069646683,
A,9,9a,Nest,Control,3,108856,4233861,0.025710811,
A,11,11a,Nest,Control,1,122414,3512600,0.034849969,
A,11,11a,Nest,Control,2,104278,3408165,0.030596523,
A,11,11b,Nest,Control,1,376286,3609218,0.104256933,
A,11,11b,Nest,Control,2,576293,3425607,0.168230915,
A,12,12b,Nest,Control,1,691,2654890,0.000260274,
A,12,12b,Nest,Control,2,23029,2372305,0.009707436,
A,12,12b,Nest,Control,3,5104,2180304,0.002340958,
A,9,9a,Outhouse,Control,1,1472072,3691782,0.398742938,
A,9,9a,Outhouse,Control,2,2402385,3939864,0.609763433,
A,9,9a,Outhouse,Control,3,1996736,4221696,0.472970105,
A,11,11a,Outhouse,Control,1,1000603,4234191,0.236315036,
A,11,11a,Outhouse,Control,2,1109509,3838575,0.289041897,"don't have third rep for some because david put the liners on upsidedown (plastic-side up), so they didn't absorb feces properly "
A,11,11b,Outhouse,Control,1,555578,4058078,0.136906683,
A,11,11b,Outhouse,Control,2,488249,4077216,0.119750585,don't have third rep because david 
A,12,12b,Outhouse,Control,1,1346356,3061924,0.43970915,
A,12,12b,Outhouse,Control,2,2266863,2719626,0.833520124,
A,12,12b,Outhouse,Control,3,2088974,2486605,0.840090807,
B,12,12c,Nest,Crithidia,1,1660,2628420,0.000631558,
B,12,12c,Nest,Crithidia,2,110113,2555724,0.043084856,
B,12,12c,Nest,Crithidia,3,31916,2498702,0.012773032,
B,13,13a,Nest,Crithidia,1,2623,2641994,0.000992811,
B,13,13a,Nest,Crithidia,2,3713,2338012,0.001588101,
B,13,13a,Nest,Crithidia,3,1705,2425290,0.000703009,
B,13,13b,Nest,Crithidia,1,19041,2592072,0.007345861,
B,13,13b,Nest,Crithidia,2,3151,1887045,0.001669806,
B,13,13b,Nest,Crithidia,3,25004,2185307,0.011441871,
B,12,12c,Outhouse,Crithidia,1,597651,2176108,0.274642159,
B,12,12c,Outhouse,Crithidia,2,969599,1952356,0.496630225,
B,12,12c,Outhouse,Crithidia,3,1497102,2086632,0.717472942,
B,13,13a,Outhouse,Crithidia,1,845542,3159164,0.26764739,
B,13,13a,Outhouse,Crithidia,2,1829680,2817298,0.649444965,
B,13,13a,Outhouse,Crithidia,3,2507166,3252914,0.770744631,
B,13,13b,Outhouse,Crithidia,1,632465,2737314,0.231053142,
B,13,13b,Outhouse,Crithidia,2,1380540,2486605,0.555190712,
B,13,13b,Outhouse,Crithidia,3,1331557,2615523,0.509097798,
B,12,12c,Nest,Control,2,37453,2591265,0.014453558,
B,12,12c,Nest,Control,3,23093,3077717,0.007503289,
B,13,13a,Nest,Control,1,223592,2077962,0.107601583,
B,13,13a,Nest,Control,2,287573,2847014,0.101008636,
B,13,13a,Nest,Control,3,411960,2228395,0.184868482,
B,13,13b,Nest,Control,1,229946,2298591,0.100037806,
B,13,13b,Nest,Control,2,662025,2182358,0.30335307,
B,13,13b,Nest,Control,3,1192339,2522565,0.472669287,
B,12,12c,Outhouse,Control,2,1937319,2627403,0.737351293,
B,12,12c,Outhouse,Control,3,1584073,2969262,0.533490477,
B,13,13a,Outhouse,Control,1,662683,2544300,0.260457886,
B,13,13a,Outhouse,Control,2,2443528,3197754,0.76413883,
B,13,13a,Outhouse,Control,3,2749489,3319389,0.828311777,
B,13,13b,Outhouse,Control,1,840323,2378000,0.353373844,
B,13,13b,Outhouse,Control,2,1930470,2848090,0.677812148,
B,13,13b,Outhouse,Control,3,2006650,2734518,0.733822195,
C,13,13c,Nest,Crithidia,1,6855,2587291,0.002649489,
C,13,13c,Nest,Crithidia,2,3770,2672858,0.001410475,
C,13,13c,Nest,Crithidia,3,18141,2187645,0.008292479,
C,13,13d,Nest,Crithidia,1,2858,2146585,0.001331417,
C,13,13d,Nest,Crithidia,2,3183,2110431,0.001508223,
C,13,13d,Nest,Crithidia,3,39692,2129904,0.018635582,
C,12,12d,Nest,Crithidia,1,2648,2692216,0.000983576,
C,12,12d,Nest,Crithidia,2,4429,2334652,0.001897071,
C,12,12d,Nest,Crithidia,3,37376,3101704,0.01205015,
C,12,12e,Nest,Crithidia,1,71152,2858472,0.02489162,
C,12,12e,Nest,Crithidia,2,46856,2601714,0.018009666,
C,12,12e,Nest,Crithidia,3,43414,2405896,0.018044837,
C,13,13c,Outhouse,Crithidia,1,691595,2662748,0.259729798,
C,13,13c,Outhouse,Crithidia,2,467172,2528099,0.184791814,
C,13,13c,Outhouse,Crithidia,3,428968,3164640,0.135550331,
C,13,13d,Outhouse,Crithidia,1,632637,2598674,0.243446081,
C,13,13d,Outhouse,Crithidia,2,594896,2709252,0.219579426,
C,13,13d,Outhouse,Crithidia,3,869669,3122799,0.278490226,
C,12,12d,Outhouse,Crithidia,1,914359,3302250,0.276889696,
C,12,12d,Outhouse,Crithidia,2,849850,2830104,0.300289318,
C,12,12d,Outhouse,Crithidia,3,766715,2969967,0.258156067,
C,12,12e,Outhouse,Crithidia,1,627659,2542176,0.246898326,
C,12,12e,Outhouse,Crithidia,2,782119,2184775,0.357986063,
C,12,12e,Outhouse,Crithidia,3,585190,2618760,0.223460722,
C,13,13c,Nest,Control,1,20502,2865840,0.007153923,
C,13,13c,Nest,Control,2,7894,2758209,0.002862002,
C,13,13c,Nest,Control,3,24241,2557424,0.009478679,
C,13,13d,Nest,Control,1,110641,2472990,0.044739768,
C,13,13d,Nest,Control,2,6362,2407174,0.002642933,
C,13,13d,Nest,Control,3,38035,1930878,0.019698293,
C,12,12d,Nest,Control,1,85361,2968355,0.028757005,
C,12,12d,Nest,Control,2,75223,2281626,0.032969032,
C,12,12d,Nest,Control,3,36192,2830158,0.012787979,
C,12,12e,Nest,Control,1,2384,2528736,0.000942763,
C,12,12e,Nest,Control,2,20287,2309970,0.008782365,
C,12,12e,Nest,Control,3,5336,2196573,0.002429239,
C,13,13c,Outhouse,Control,1,1105672,2281014,0.484728283,
C,13,13c,Outhouse,Control,2,595208,2581870,0.230533683,
C,13,13c,Outhouse,Control,3,587620,2463174,0.238562115,
C,13,13d,Outhouse,Control,1,361532,2733600,0.132254902,
C,13,13d,Outhouse,Control,2,177407,2741607,0.064709129,
C,13,13d,Outhouse,Control,3,135664,2837412,0.047812584,
C,12,12d,Outhouse,Control,1,658904,2451200,0.268808747,
C,12,12d,Outhouse,Control,2,847358,2579086,0.328549727,
C,12,12d,Outhouse,Control,3,658990,3206385,0.20552429,
C,12,12e,Outhouse,Control,1,761301,2528064,0.301139924,
C,12,12e,Outhouse,Control,2,673739,2613030,0.257838218,
C,12,12e,Outhouse,Control,3,632011,2642915,0.239134062,
D,12,12f,Nest,Crithidia,1,4811,2728155,0.001763463,
D,12,12f,Nest,Crithidia,2,3958,2296728,0.001723321,
D,12,12f,Nest,Crithidia,3,26984,1996732,0.013514082,
D,13,13e,Nest,Crithidia,1,40012,2379784,0.016813291,
D,13,13e,Nest,Crithidia,2,54352,2669406,0.020361084,
D,13,13e,Nest,Crithidia,3,153344,1988181,0.077127787,
D,14,14a,Nest,Crithidia,1,2233,1980655,0.001127405,
D,14,14a,Nest,Crithidia,2,26292,1238016,0.021237205,
D,14,14a,Nest,Crithidia,3,7274,2571642,0.002828543,
