Colony,Cavity_treatment,Inoc_treatment,Inoc_Date,Weight,Pre-screen,Arrived,Filename1,Bee_count1_lily,Bee_count1_leah,Pupae_count1,Filename2,Bee_count2_lily,Bee_count2_leah,Bee_count_avg,Inoc_3%,Inoc_30%,bees+pupae,Final_box_weight,Final_workers_n,Final_workers_weight,Final_gynes_n,Final_gynes_weight,Final_males_n,Final_males_weight,Final_larvae_n,Final_larvae_weight,Final_pupae_n,Final_pupae_gynes_n,Final_pupae_weight
A,Outhouse,3%,2-Jul,811.8,0/5,21-Jun,IMG_2227,99,98,154,IMG_2228,98,105,100,3,30,254,1134.5,107,17.9,61,27.7,243,34.4,107,7.5,51,1,22.3
B,Outhouse,3%,2-Jul,787.3,0/5,21-Jun,IMG_2230,95,98,110,IMG_2231,106,106,101.25,3.0375,30.375,211.25,1126,77,14.5,26,17.8,191,26.9,94,12.2,29,0,5.1
C,Outhouse,3%,2-Jul,867.4,0/5,25-Jun,IMG_2219,102,95,124,IMG_2220,100,102,99.75,2.9925,29.925,223.75,1056.8,206,40.2,102,61.8,24,3,9,1.6,93,15,27.8
D,Outhouse,3%,2-Jul,828.5,0/5,25-Jun,IMG_2239,93,90,129,IMG_2240,95,96,93.5,2.805,28.05,222.5,1280,398,66.1,1,0.7,11,2,284,13.9,135,4,20.8
E,Outhouse,30%,2-Jul,854.7,0/5,25-Jun,IMG_2221,127,119,188,IMG_2222,124,121,122.75,3.6825,36.825,310.75,1113.2,248,37,3,1.9,10,1.7,189,19.9,54,0,29.9
F,Control,30%,2-Jul,792.8,0/5,21-Jun,IMG_2223,108,111,171,IMG_2224,106,110,108.75,3.2625,32.625,279.75,1069.5,70,11.5,5,2.9,42,6.3,73,27.7,89,2,15.4
G,Outhouse,30%,2-Jul,795.7,0/5,21-Jun,IMG_2225,124,106,141,IMG_2226,114,115,114.75,3.4425,34.425,255.75,1176.2,126,27.5,166,90.4,105,16.6,98,6.9,120,8,54.2
H,Control,30%,2-Jul,865.1,0/5,25-Jun,IMG_2233,124,117,82,IMG_2232,118,110,117.25,3.5175,35.175,199.25,1078.2,165,28,1,0.8,0,0,168,20.6,214,2,47.2
I,Outhouse,30%,2-Jul,869.9,0/5,25-Jun,IMG_2235,106,95,169,IMG_2236,95,95,97.75,2.9325,29.325,266.75,1164.4,86,17.3,67,39.4,174,27.4,74,7.5,89,5,17.4
J,Outhouse,30%,2-Jul,802.4,0/5,25-Jun,IMG_2237,102,102,130,IMG_2238,102,98,101,3.03,30.3,231,1166.1,118,48.7,73,45.1,13,2.5,47,7.3,71,9,17.8
K,Control,3%,2-Jul,830,0/5,21-Jun,IMG_2269,160,153,102,IMG_2270,162,157,158,4.74,47.4,260,1006,111,22.7,101,65.6,10,17.2,5,17,36,7,24.3
L,Control,3%,2-Jul,819,0/5,21-Jun,IMG_2248,162,149,95,IMG_2249,163,154,157,4.71,47.1,252,1064.2,86,20.7,117,67.2,37,4.2,98,9.8,16,2,5.8
M,Control,30%,2-Jul,843.8,0/5,25-Jun,IMG_2262,124,118,132,IMG_2263,113,112,116.75,3.5025,35.025,248.75,995.1,63,13.7,74,47.4,4,0.5,16,5.2,16,14,10.8
N,Control,3%,2-Jul,799.9,0/5,25-Jun,IMG_2260,110,109,166,IMG_2261,114,103,109,3.27,32.7,275,994.2,56,9.8,33,16.7,0,0,39,6.8,58,23,28
O,Control,3%,2-Jul,872.7,0/5,25-Jun,IMG_2258,126,120,157,IMG_2259,125,121,123,3.69,36.9,280,999.2,10,2.4,93,65.8,2,0.4,6,1.2,3,1,0.9
P,Outhouse,30%,2-Jul,793.2,0/5,21-Jun,IMG_2271,103,98,86,IMG_2272,102,94,99.25,2.9775,29.775,185.25,1179.2,191,47.6,122,69.9,19,2.6,28,1.7,33,8,10.2
Q,Control,30%,2-Jul,782.7,0/5,21-Jun,IMG_2254,123,120,117,IMG_2255,123,119,121.25,3.6375,36.375,238.25,992.1,202,35.9,0,0,0,0,103,10.7,28,8,10.8
R,Outhouse,3%,2-Jul,814.9,0/5,25-Jun,IMG_2250,107,109,102,IMG_2251,104,98,104.5,3.135,31.35,206.5,1128.2,70,19.1,62,29.3,79,11.7,132,5.2,71,0,10.7
S,Control,3%,2-Jul,805.6,0/5,25-Jun,IMG_2256,122,115,139,IMG_2257,112,115,116,3.48,34.8,255,1164.6,217,43.4,0,0,0,0,174,26.2,145,1,33.9
T,Control,30%,2-Jul,796.2,0/5,25-Jun,IMG_2243,113,103,132,IMG_2244,103,100,104.75,3.1425,31.425,236.75,1035.9,87,23.5,89,68.6,139,45.3,3,15.9,28,13,25.3
