Colony,Cavity_treatment,Inoc_treatment,Week,Date,Males,Gynes,Gyne_pupa,Dead_nest,Dead_outh,Weight
A,Outhouse,3%,0,2-Jul,no,0,no,0,0,811.8
B,Outhouse,3%,0,2-Jul,no,0,no,0,0,787.3
C,Outhouse,3%,0,2-Jul,no,0,no,0,0,867.4
D,Outhouse,3%,0,2-Jul,no,0,no,0,0,828.5
E,Outhouse,30%,0,2-Jul,no,0,no,0,0,854.7
F,Control,30%,0,2-Jul,no,0,no,0,,792.8
G,Outhouse,30%,0,2-Jul,yes,0,no,0,0,795.7
H,Control,30%,0,2-Jul,yes,0,no,0,,865.1
I,Outhouse,30%,0,2-Jul,no,0,no,0,0,869.9
J,Outhouse,30%,0,2-Jul,no,0,no,0,0,802.4
K,Control,3%,0,2-Jul,no,0,no,0,,830
L,Control,3%,0,2-Jul,no,0,no,0,,819
M,Control,30%,0,2-Jul,yes,0,no,0,,843.8
N,Control,3%,0,2-Jul,no,0,no,0,,799.9
O,Control,3%,0,2-Jul,no,0,no,0,,872.7
P,Outhouse,30%,0,2-Jul,no,0,no,0,0,793.2
Q,Control,30%,0,2-Jul,no,0,no,0,,782.7
R,Outhouse,3%,0,2-Jul,no,0,no,0,0,814.9
S,Control,3%,0,2-Jul,no,0,no,0,,805.6
T,Control,30%,0,2-Jul,no,0,no,0,,796.2
A,Outhouse,3%,1,12-Jul,no,0,yes,5,20,1042.9
B,Outhouse,3%,1,12-Jul,no,0,yes,6,6,982.8
C,Outhouse,3%,1,12-Jul,no,0,no,0,6,990.5
D,Outhouse,3%,1,12-Jul,no,0,no,0,74,1022.8
E,Outhouse,30%,1,12-Jul,no,0,no,6,25,1030.9
F,Control,30%,1,12-Jul,no,0,no,3,,992.5
G,Outhouse,30%,1,12-Jul,yes,0,yes,18,6,1005.3
H,Control,30%,1,12-Jul,yes,0,no,24,,941.1
I,Outhouse,30%,1,12-Jul,no,0,yes,0,16,1065.5
J,Outhouse,30%,1,12-Jul,no,0,yes,0,53,1011.4
K,Control,3%,1,12-Jul,no,0,no,13,,993
L,Control,3%,1,12-Jul,no,0,yes,2,,1064.3
M,Control,30%,1,12-Jul,yes,0,yes,3,,966.1
N,Control,3%,1,12-Jul,no,0,no,1,,964.5
O,Control,3%,1,12-Jul,no,0,yes,3,,1033.7
P,Outhouse,30%,1,12-Jul,no,0,yes,3,12,996.7
Q,Control,30%,1,12-Jul,no,0,no,11,,950.6
R,Outhouse,3%,1,12-Jul,no,0,yes,0,18,1013.7
S,Control,3%,1,12-Jul,no,0,no,4,,974.5
T,Control,30%,1,12-Jul,no,0,yes,4,,952.2
A,Outhouse,3%,2,19-Jul,no,0,no,8,40,1098.7
B,Outhouse,3%,2,19-Jul,no,0,yes,0,31,1048.9
C,Outhouse,3%,2,19-Jul,no,0,yes,1,9,1058.1
D,Outhouse,3%,2,19-Jul,no,0,no,0,125,1172.1
E,Outhouse,30%,2,19-Jul,no,0,no,9,47,1045.1
F,Control,30%,2,19-Jul,no,0,no,4,,1067.5
G,Outhouse,30%,2,19-Jul,no,0,yes,8,38,1083.8
H,Control,30%,2,19-Jul,no,0,no,22,,1016.8
I,Outhouse,30%,2,19-Jul,no,19,yes,2,52,1127.8
J,Outhouse,30%,2,19-Jul,no,0,yes,0,143,1147.3
K,Control,3%,2,19-Jul,no,0,yes,10,,1078.3
L,Control,3%,2,19-Jul,yes,3,yes,3,,1171.7
M,Control,30%,2,19-Jul,no,0,yes,1,,1031.2
N,Control,3%,2,19-Jul,no,0,yes,1,,1044.1
O,Control,3%,2,19-Jul,no,0,yes,2,,1150.5
P,Outhouse,30%,2,19-Jul,yes,2,yes,5,52,1130.5
Q,Control,30%,2,19-Jul,no,0,no,11,,1008.5
R,Outhouse,3%,2,19-Jul,no,2,yes,0,63,1113.4
S,Control,3%,2,19-Jul,no,0,no,10,,1045.9
T,Control,30%,2,19-Jul,no,0,yes,4,,1064.4
A,Outhouse,3%,3,26-Jul,no,3,yes,8,32,1194.8
B,Outhouse,3%,3,26-Jul,no,0,yes,0,20,1101.2
C,Outhouse,3%,3,26-Jul,no,0,yes,0,20,1090.2
D,Outhouse,3%,3,26-Jul,no,0,no,0,16,1225.4
E,Outhouse,30%,3,26-Jul,no,1,no,2,49,1042.6
F,Control,30%,3,26-Jul,no,0,no,0,,1105.6
G,Outhouse,30%,3,26-Jul,no,2,yes,0,17,1144.44
H,Control,30%,3,26-Jul,no,0,no,15,,1060.3
I,Outhouse,30%,3,26-Jul,no,12,yes,0,12,1182.7
J,Outhouse,30%,3,26-Jul,no,15,yes,0,21,1148.2
K,Control,3%,3,26-Jul,no,0,yes,2,20,1110.9
L,Control,3%,3,26-Jul,yes,8,yes,6,,1172
M,Control,30%,3,26-Jul,no,0,yes,2,,1046.5
N,Control,3%,3,26-Jul,yes,0,yes,0,,1068.4
O,Control,3%,3,26-Jul,no,0,yes,0,,1160.2
P,Outhouse,30%,3,26-Jul,no,6,yes,4,12,1149.2
Q,Control,30%,3,26-Jul,no,0,no,14,,1037.5
R,Outhouse,3%,3,26-Jul,no,2,yes,6,56,1119
S,Control,3%,3,26-Jul,no,0,no,8,,1066.4
T,Control,30%,3,26-Jul,yes,0,yes,10,,1087.9
A,Outhouse,3%,4,2-Aug,yes,25,yes,0,44,1322.1
B,Outhouse,3%,4,2-Aug,yes,30,yes,0,33,1232
C,Outhouse,3%,4,2-Aug,yes,7,yes,0,29,1187.4
D,Outhouse,3%,4,2-Aug,no,0,no,0,41,1328.2
E,Outhouse,30%,4,2-Aug,no,0,no,6,48,1177.7
F,Control,30%,4,2-Aug,no,0,yes,0,,1126.3
G,Outhouse,30%,4,2-Aug,no,32,yes,0,24,1284.9
H,Control,30%,4,2-Aug,no,0,no,10,,1121.6
I,Outhouse,30%,4,2-Aug,yes,44,yes,0,33,1269.5
J,Outhouse,30%,4,2-Aug,no,61,yes,0,26,1180.5
K,Control,3%,4,2-Aug,no,22,yes,0,,1082.6
L,Control,3%,4,2-Aug,no,29,yes,0,,1096.4
M,Control,30%,4,2-Aug,no,11,yes,12,,1132.2
N,Control,3%,4,2-Aug,no,0,yes,0,,1140.7
O,Control,3%,4,2-Aug,no,35,yes,0,,1051.4
P,Outhouse,30%,4,2-Aug,no,58,yes,5,44,1250.5
Q,Control,30%,4,2-Aug,no,0,no,0,,1039
R,Outhouse,3%,4,2-Aug,no,25,yes,2,89,1168.8
S,Control,3%,4,2-Aug,no,0,no,30,,1103.5
T,Control,30%,4,2-Aug,no,32,yes,0,,1188.4
A,Outhouse,3%,5,9-Aug,yes,18,yes,,3,1299.3
B,Outhouse,3%,5,9-Aug,yes,8,yes,,20,1165.8
C,Outhouse,3%,5,9-Aug,no,28,no,,43,1208.3
D,Outhouse,3%,5,9-Aug,no,0,no,,54,1329.5
E,Outhouse,30%,5,9-Aug,no,0,no,,8,1208.1
F,Control,30%,5,9-Aug,yes,0,no,,,1060.1
G,Outhouse,30%,5,9-Aug,no,55,yes,,17,1304.5
H,Control,30%,5,9-Aug,no,0,no,,,1276.7
I,Outhouse,30%,5,9-Aug,yes,43,yes,,8,1245.1
J,Outhouse,30%,5,9-Aug,no,55,yes,,9,1177.3
K,Control,3%,5,9-Aug,no,33,yes,,,1016.6
L,Control,3%,5,9-Aug,no,60,yes,,,1114
M,Control,30%,5,9-Aug,yes,15,yes,,,999.5
N,Control,3%,5,9-Aug,no,6,yes,,,1092.2
O,Control,3%,5,9-Aug,no,36,yes,,,1063.7
P,Outhouse,30%,5,9-Aug,no,68,yes,,17,1240.7
Q,Control,30%,5,9-Aug,no,0,no,,,996.7
R,Outhouse,3%,5,9-Aug,no,21,no,,31,1161
S,Control,3%,5,9-Aug,no,0,no,,,1125.9
T,Control,30%,5,9-Aug,yes,14,yes,,,1110.5
A,Outhouse,3%,6,16-Aug,,61,,,,1134.5
B,Outhouse,3%,6,16-Aug,,26,,,,1126
C,Outhouse,3%,6,16-Aug,,102,,,,1056.8
D,Outhouse,3%,6,16-Aug,,1,,,,1280
E,Outhouse,30%,6,16-Aug,,3,,,,1113.2
F,Control,30%,6,16-Aug,,5,,,,1069.5
G,Outhouse,30%,6,16-Aug,,166,,,,1176.2
H,Control,30%,6,16-Aug,,1,,,,1078.2
I,Outhouse,30%,6,16-Aug,,67,,,,1164.4
J,Outhouse,30%,6,16-Aug,,73,,,,1166.1
K,Control,3%,6,16-Aug,,101,,,,1006
L,Control,3%,6,16-Aug,,117,,,,1064.2
M,Control,30%,6,16-Aug,,74,,,,995.1
N,Control,3%,6,16-Aug,,33,,,,994.2
O,Control,3%,6,16-Aug,,93,,,,999.2
P,Outhouse,30%,6,16-Aug,,122,,,,1179.2
Q,Control,30%,6,16-Aug,,0,,,,992.1
R,Outhouse,3%,6,16-Aug,,62,,,,1128.2
S,Control,3%,6,16-Aug,,0,,,,1164.6
T,Control,30%,6,16-Aug,,89,,,,1035.9
