Week,Date,Colony,Sampling,Bee_ID,Inoc_treatment,Cavity_treatment,No_crithidia,Marginal_cell,notes,screened_by
1,8-Jul,A,1,1,3,Outhouse,0,26.545,,LV
1,8-Jul,A,2,2,3,Outhouse,0,29.988,,LV
1,8-Jul,A,3,3,3,Outhouse,0,28.249,,LV
1,8-Jul,A,4,4,3,Outhouse,0,29.025,,LV
1,8-Jul,A,5,5,3,Outhouse,0,22.405,,LV
1,8-Jul,A,6,6,3,Outhouse,0,24.516,,LV
1,8-Jul,A,7,7,3,Outhouse,0,28.669,,LV
1,8-Jul,A,8,8,3,Outhouse,0,29.953,,LV
1,8-Jul,A,9,9,3,Outhouse,0,26.087,,LV
1,8-Jul,A,10,10,3,Outhouse,0,29.68,,LV
1,8-Jul,A,11,11,3,Outhouse,0,27.145,,LV
1,8-Jul,A,12,12,3,Outhouse,0,26.847,,LV
1,8-Jul,A,13,13,3,Outhouse,0,26.949,,LV
1,8-Jul,A,14,14,3,Outhouse,0,26.31,,LV
1,8-Jul,A,15,15,3,Outhouse,0,28.22,,LV
1,8-Jul,G,1,16,30,Outhouse,0,24.778,,LV
1,8-Jul,G,2,17,30,Outhouse,0,23.629,,LV
1,8-Jul,G,3,18,30,Outhouse,0,26.016,,LV
1,8-Jul,G,4,19,30,Outhouse,0,28.647,,LV
1,8-Jul,G,5,20,30,Outhouse,0,29.089,,LV
1,8-Jul,G,6,21,30,Outhouse,0,27.096,,LV
1,8-Jul,G,7,22,30,Outhouse,0,26.501,,LV
1,8-Jul,G,8,23,30,Outhouse,0,25.424,,LV
1,8-Jul,G,9,24,30,Outhouse,0,17.46,,LV
1,8-Jul,G,10,25,30,Outhouse,0,28.582,,LV
1,8-Jul,G,11,26,30,Outhouse,0,28.047,,LV
1,8-Jul,G,12,27,30,Outhouse,0,29.043,,LV
1,8-Jul,G,13,28,30,Outhouse,0,28.792,,LV
1,8-Jul,G,14,29,30,Outhouse,0,30.121,,LV
1,8-Jul,G,15,30,30,Outhouse,0,23.99,,LV
1,8-Jul,H,1,31,30,Control,0,26.179,,LB
1,8-Jul,H,2,32,30,Control,0,24.959,,LB
1,8-Jul,H,3,33,30,Control,0,23.182,,LB
1,8-Jul,H,4,34,30,Control,0,28.233,,LB
1,8-Jul,H,5,35,30,Control,0,27.857,,LB
1,8-Jul,H,6,36,30,Control,0,25.006,,LB
1,8-Jul,H,7,37,30,Control,0,28.095,,LB
1,8-Jul,H,8,38,30,Control,0,26.029,,LB
1,8-Jul,H,9,39,30,Control,0,23.629,,LB
1,8-Jul,H,10,40,30,Control,0,22.306,,LB
1,8-Jul,H,11,41,30,Control,0,26.094,,LB
1,8-Jul,H,12,42,30,Control,0,25.838,,LB
1,8-Jul,H,13,43,30,Control,0,25.059,,LB
1,8-Jul,H,14,44,30,Control,0,29.787,,LB
1,8-Jul,H,15,45,30,Control,0,27.36,,LB
1,8-Jul,K,1,46,3,Control,0,26.678,,LB
1,8-Jul,K,2,47,3,Control,0,24.049,,LB
1,8-Jul,K,3,48,3,Control,0,20.93,,LB
1,8-Jul,K,4,49,3,Control,0,25.112,,LB
1,8-Jul,K,5,50,3,Control,0,26.148,,LB
1,8-Jul,K,6,51,3,Control,0,22.03,,LB
1,8-Jul,K,7,52,3,Control,0,18.537,,LB
1,8-Jul,K,8,53,3,Control,0,23.148,,LB
1,8-Jul,K,9,54,3,Control,0,24.023,,LB
1,8-Jul,K,10,55,3,Control,0,23.337,,LB
1,8-Jul,K,11,56,3,Control,0,24.082,,LB
1,8-Jul,K,12,57,3,Control,0,28.173,,LB
1,8-Jul,K,13,58,3,Control,0,28.399,,LB
